lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
105.11096699822966,26.339473829902136,皇茶奶茶店,蟠龙镇政府部门入口处,贵州省,六盘水市,,餐饮服务;冷饮店;冷饮店,050700,B0KDXC02LT,餐饮服务,冷饮店,冷饮店,
105.19912764687855,26.29022994243321,鸿运来餐馆,马红路西侧,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0LRYSW64B,餐饮服务,中餐厅,中餐厅,
105.10848509888531,26.339928520221836,海滨酒楼,龙城加油站西北侧80米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0JUON0YGW,餐饮服务,中餐厅,中餐厅,
105.11106695672842,26.339515915714074,老羊头羊肉粉(蟠龙店),水黄路,贵州省,六盘水市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0LAHRFRCI,餐饮服务,餐饮相关场所,餐饮相关,
105.108602039721,26.339931587814505,张阿姨砂锅粉,龙城加油站北侧80米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0G2YSQKPL,餐饮服务,中餐厅,中餐厅,
105.10905681140946,26.340028895393875,程领鲜烧烤店,蟠龙黄金湾水黄公路入口50米处,贵州省,六盘水市,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0L119LT7L,餐饮服务,中餐厅,特色/地方风味餐厅,
105.19491670431607,26.291395876635885,杭州小笼包,红岩乡卫生院西南侧50米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0MB4CZ9OI,餐饮服务,中餐厅,中餐厅,
105.1954170792974,26.291146558834107,伊味园清真全牛馆,红岩乡卫生院南侧80米,贵州省,六盘水市,,餐饮服务;中餐厅;清真菜馆,050121,B0M6TR6B8R,餐饮服务,中餐厅,清真菜馆,
105.11011138683845,26.33878695953847,茶语轩,康祥诊所东北侧,贵州省,六盘水市,,餐饮服务;茶艺馆;茶艺馆,050600,B0LBRDHLOY,餐饮服务,茶艺馆,茶艺馆,
105.11011138683845,26.33878695953847,茶语轩,康祥诊所东北侧,贵州省,六盘水市,,餐饮服务;茶艺馆;茶艺馆,050600,B0LBRDHLOY,餐饮服务,茶艺馆,茶艺馆,
105.10983144533566,26.340160422303974,蟠龙留一手烤鱼城,蟠龙镇政务服务中心西侧130米,贵州省,六盘水市,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0L0O9J8O5,餐饮服务,中餐厅,特色/地方风味餐厅,
105.11052119999077,26.339046340603293,有资有味私房菜,龙城加油站东侧160米,贵州省,六盘水市,,餐饮服务;中餐厅;中餐厅,050100,B0M6FSXMJO,餐饮服务,中餐厅,中餐厅,
